date,AAPL
5/29/2012,1.68E-02
5/30/2012,3.00E-02
5/31/2012,2.81E-02
6/1/2012,-1.32E-03
6/4/2012,4.96E-03
6/5/2012,2.85E-03
6/6/2012,1.87E-02
6/7/2012,1.90E-02
6/8/2012,3.42E-02
6/11/2012,1.66E-02
6/12/2012,2.42E-02
6/13/2012,1.49E-02
6/14/2012,1.14E-02
6/15/2012,1.21E-02
6/18/2012,2.84E-02
6/19/2012,2.89E-02
6/20/2012,2.32E-02
6/21/2012,7.64E-03
6/22/2012,1.42E-02
6/25/2012,-7.32E-03
6/26/2012,-5.00E-03
6/27/2012,-4.49E-05
6/28/2012,-9.24E-03
6/29/2012,1.60E-02
7/2/2012,2.90E-02
7/3/2012,3.82E-02
7/5/2012,5.37E-02
7/6/2012,4.31E-02
7/9/2012,5.44E-02
7/10/2012,4.06E-02
7/11/2012,3.12E-02
7/12/2012,1.88E-02
7/13/2012,2.66E-02
7/16/2012,2.71E-02
7/17/2012,2.52E-02
7/18/2012,2.23E-02
7/19/2012,3.40E-02
7/20/2012,1.38E-02
7/23/2012,1.11E-02
7/24/2012,3.27E-03
7/25/2012,-4.25E-02
7/26/2012,-4.27E-02
7/27/2012,-2.61E-02
7/30/2012,-9.73E-03
7/31/2012,1.62E-02
8/1/2012,8.65E-03
8/2/2012,1.06E-02
8/3/2012,2.35E-02
8/6/2012,3.48E-02
8/7/2012,3.07E-02
8/8/2012,2.75E-02
8/9/2012,2.71E-02
8/10/2012,2.73E-02
8/13/2012,3.97E-02
8/14/2012,4.04E-02
8/15/2012,3.67E-02
8/16/2012,4.42E-02
8/17/2012,6.06E-02
8/20/2012,8.44E-02
8/21/2012,6.37E-02
8/22/2012,7.70E-02
8/23/2012,5.85E-02
8/24/2012,5.26E-02
8/27/2012,6.63E-02
8/28/2012,5.92E-02
8/29/2012,5.12E-02
8/30/2012,3.07E-02
8/31/2012,2.87E-02
9/4/2012,4.02E-02
9/5/2012,2.84E-02
9/6/2012,3.34E-02
9/7/2012,3.52E-02
9/10/2012,3.52E-03
9/11/2012,-2.34E-03
9/12/2012,9.24E-03
9/13/2012,2.59E-02
9/14/2012,3.46E-02
9/17/2012,4.38E-02
9/18/2012,4.41E-02
9/19/2012,4.07E-02
9/20/2012,3.29E-02
9/21/2012,3.21E-02
9/24/2012,1.55E-02
9/25/2012,-1.10E-02
9/26/2012,-2.32E-02
9/27/2012,1.13E-03
9/28/2012,-2.11E-02
10/1/2012,-3.25E-02
10/2/2012,-2.86E-02
10/3/2012,-1.30E-02
10/4/2012,-1.95E-02
10/5/2012,-3.93E-02
10/8/2012,-5.98E-02
10/9/2012,-6.16E-02
10/10/2012,-5.16E-02
10/11/2012,-6.75E-02
10/12/2012,-6.05E-02
10/15/2012,-4.77E-02
10/16/2012,-2.00E-02
10/17/2012,-2.38E-02
10/18/2012,-3.77E-02
10/19/2012,-6.74E-02
10/22/2012,-2.40E-02
10/23/2012,-5.28E-02
10/24/2012,-4.34E-02
10/25/2012,-4.97E-02
10/26/2012,-5.39E-02
10/31/2012,-6.32E-02
11/1/2012,-5.61E-02
11/2/2012,-8.16E-02
11/5/2012,-6.21E-02
11/6/2012,-5.96E-02
11/7/2012,-9.54E-02
11/8/2012,-1.22E-01
11/9/2012,-9.92E-02
11/12/2012,-9.99E-02
11/13/2012,-9.29E-02
11/14/2012,-9.56E-02
11/15/2012,-1.06E-01
11/16/2012,-9.25E-02
11/19/2012,-1.77E-02
11/20/2012,-2.21E-02
11/21/2012,-1.41E-02
11/23/2012,7.88E-03
11/26/2012,4.41E-02
11/27/2012,3.76E-02
11/28/2012,3.62E-02
11/29/2012,4.88E-02
11/30/2012,4.23E-02
12/3/2012,4.31E-02
12/4/2012,2.45E-02
12/5/2012,-4.08E-02
12/6/2012,-2.40E-02
12/7/2012,-4.98E-02
12/10/2012,-5.47E-02
12/11/2012,-3.29E-02
12/12/2012,-3.70E-02
12/13/2012,-5.38E-02
12/14/2012,-8.97E-02
12/17/2012,-7.20E-02
12/18/2012,-4.08E-02
12/19/2012,-5.20E-02
12/20/2012,-5.71E-02
12/21/2012,-5.70E-02
12/24/2012,-4.91E-02
12/26/2012,-5.63E-02
12/27/2012,-4.61E-02
12/28/2012,-4.93E-02
12/31/2012,2.28E-04
1/2/2013,3.75E-02
1/3/2013,2.71E-02
1/4/2013,-1.83E-03
1/7/2013,-5.70E-03
1/8/2013,-2.09E-03
1/9/2013,-1.72E-02
1/10/2013,-2.64E-03
1/11/2013,-7.21E-03
1/14/2013,-4.17E-02
1/15/2013,-7.12E-02
1/16/2013,-2.94E-02
1/17/2013,-3.33E-02
1/18/2013,-3.61E-02
1/22/2013,-2.48E-02
1/23/2013,-5.42E-03
1/24/2013,-1.28E-01
1/25/2013,-1.43E-01
1/28/2013,-1.17E-01
1/29/2013,-9.45E-02
1/30/2013,-9.04E-02
1/31/2013,-8.42E-02
2/1/2013,-7.95E-02
2/4/2013,-9.53E-02
2/5/2013,-5.53E-02
2/6/2013,-4.94E-02
2/7/2013,-2.04E-02
2/8/2013,-1.16E-04
2/11/2013,1.54E-02
2/12/2013,-7.64E-03
2/13/2013,-7.53E-03
2/14/2013,-4.07E-03
2/15/2013,-1.38E-02
2/19/2013,-9.71E-03
2/20/2013,-2.88E-02
2/21/2013,-2.76E-02
2/22/2013,-1.67E-02
2/25/2013,-3.54E-02
2/26/2013,-2.12E-02
2/27/2013,-2.97E-02
2/28/2013,-3.53E-02
3/1/2013,-5.77E-02
3/4/2013,-7.80E-02
3/5/2013,-5.12E-02
3/6/2013,-6.04E-02
3/7/2013,-4.60E-02
3/8/2013,-3.93E-02
3/11/2013,-2.06E-02
3/12/2013,-3.70E-02
3/13/2013,-3.26E-02
3/14/2013,-1.87E-02
3/15/2013,1.07E-02
3/18/2013,4.02E-02
3/19/2013,3.80E-02
3/20/2013,3.17E-02
3/21/2013,3.25E-02
3/22/2013,5.32E-02
3/25/2013,5.46E-02
3/26/2013,4.72E-02
3/27/2013,2.46E-02
3/28/2013,1.95E-03
4/1/2013,-3.06E-02
4/2/2013,-2.96E-02
4/3/2013,-2.45E-02
4/4/2013,-3.49E-02
4/5/2013,-4.47E-02
4/8/2013,-3.70E-02
4/9/2013,-3.39E-02
4/10/2013,-1.40E-02
4/11/2013,-1.79E-02
4/12/2013,-2.84E-02
4/15/2013,-4.93E-02
4/16/2013,-3.07E-02
4/17/2013,-8.09E-02
4/18/2013,-1.00E-01
4/19/2013,-9.70E-02
4/22/2013,-7.01E-02
4/23/2013,-4.51E-02
4/24/2013,-4.01E-02
4/25/2013,-2.76E-02
4/26/2013,-2.26E-03
4/29/2013,3.02E-02
4/30/2013,6.04E-02
5/1/2013,5.07E-02
5/2/2013,6.40E-02
5/3/2013,7.17E-02
5/6/2013,9.39E-02
5/7/2013,8.45E-02
5/8/2013,9.36E-02
5/9/2013,7.30E-02
5/10/2013,6.06E-02
5/13/2013,6.04E-02
5/14/2013,3.14E-02
5/15/2013,-8.46E-03
5/16/2013,3.10E-04
5/17/2013,-8.02E-03
5/20/2013,9.91E-03
5/21/2013,-1.96E-03
5/22/2013,-2.20E-03
5/23/2013,-4.32E-03
5/24/2013,-4.92E-04
5/28/2013,-1.06E-02
5/29/2013,-2.55E-03
5/30/2013,1.16E-02
5/31/2013,6.77E-03
6/3/2013,9.02E-03
6/4/2013,7.04E-03
6/5/2013,-1.27E-03
6/6/2013,-1.40E-02
6/7/2013,-4.32E-03
6/10/2013,-9.59E-03
6/11/2013,-1.06E-02
6/12/2013,-2.21E-02
6/13/2013,-1.40E-02
6/14/2013,-2.75E-02
6/17/2013,-2.27E-02
6/18/2013,-2.20E-02
6/19/2013,-4.10E-02
6/20/2013,-5.29E-02
6/21/2013,-5.76E-02
6/24/2013,-7.91E-02
6/25/2013,-7.45E-02
6/26/2013,-8.03E-02
6/27/2013,-8.43E-02
6/28/2013,-7.15E-02
7/1/2013,-3.53E-02
7/2/2013,-8.56E-03
7/3/2013,2.34E-04
7/5/2013,-5.60E-03
7/8/2013,-8.22E-03
7/9/2013,1.23E-02
7/10/2013,1.03E-02
7/11/2013,2.76E-02
7/12/2013,2.68E-02
7/15/2013,2.95E-02
7/16/2013,3.68E-02
7/17/2013,3.72E-02
7/18/2013,3.98E-02
7/19/2013,2.14E-02
7/22/2013,2.32E-02
7/23/2013,2.64E-03
7/24/2013,5.20E-02
7/25/2013,4.16E-02
7/26/2013,4.17E-02
7/29/2013,5.20E-02
7/30/2013,5.99E-02
7/31/2013,5.35E-02
8/1/2013,5.91E-02
8/2/2013,6.76E-02
8/5/2013,7.73E-02
8/6/2013,6.16E-02
8/7/2013,5.53E-02
8/8/2013,4.16E-02
8/9/2013,2.26E-02
8/12/2013,4.83E-02
8/13/2013,9.34E-02
8/14/2013,1.06E-01
8/15/2013,9.57E-02
8/16/2013,9.62E-02
8/19/2013,9.84E-02
8/20/2013,7.32E-02
8/21/2013,6.86E-02
8/22/2013,6.23E-02
8/23/2013,5.10E-02
8/26/2013,4.89E-02
8/27/2013,1.34E-02
8/28/2013,1.42E-02
8/29/2013,1.21E-02
8/30/2013,-3.18E-04
9/3/2013,5.53E-04
9/4/2013,1.87E-02
9/5/2013,8.06E-03
9/6/2013,1.04E-02
9/9/2013,2.17E-02
9/10/2013,-5.67E-03
9/11/2013,-6.03E-02
9/12/2013,-4.72E-02
9/13/2013,-6.04E-02
9/16/2013,-8.66E-02
9/17/2013,-7.04E-02
9/18/2013,-4.66E-02
9/19/2013,-2.70E-02
9/20/2013,-3.38E-02
9/23/2013,1.79E-02
9/24/2013,1.61E-02
9/25/2013,3.07E-04
9/26/2013,1.11E-02
9/27/2013,4.47E-03
9/30/2013,-7.53E-03
10/1/2013,1.71E-02
10/2/2013,2.17E-02
10/3/2013,9.47E-03
10/4/2013,1.03E-02
10/7/2013,2.28E-02
10/8/2013,9.28E-03
10/9/2013,1.97E-02
10/10/2013,2.45E-02
10/11/2013,2.83E-02
10/14/2013,3.02E-02
10/15/2013,3.11E-02
10/16/2013,3.23E-02
10/17/2013,3.61E-02
10/18/2013,4.09E-02
10/21/2013,6.43E-02
10/22/2013,5.76E-02
10/23/2013,6.36E-02
10/24/2013,7.32E-02
10/25/2013,5.57E-02
10/28/2013,5.81E-02
10/29/2013,2.72E-02
10/30/2013,4.06E-02
10/31/2013,3.18E-02
11/1/2013,2.23E-02
11/4/2013,3.21E-02
11/5/2013,2.47E-02
11/6/2013,1.18E-02
11/7/2013,-7.75E-03
11/8/2013,5.85E-03
11/11/2013,4.41E-04
11/12/2013,2.25E-04
11/13/2013,-4.95E-04
