date,EBAY,YHOO
4/24/2013,52.97,24.75
4/25/2013,52.36,25.2
4/26/2013,52.54,24.68
4/29/2013,52.84,24.43
4/30/2013,52.39,24.73
5/1/2013,52.4,24.3
5/2/2013,53.55,24.97
5/3/2013,54.21,25.07
5/6/2013,54.09,25.17
5/7/2013,53.94,26.07
5/8/2013,54.96,26.41
5/9/2013,55.17,26.24
5/10/2013,55.65,26.83
5/13/2013,55.33,26.39
5/14/2013,56.27,26.64
5/15/2013,56.65,27.34
5/16/2013,55.8,26.58
5/17/2013,56.71,26.52
5/20/2013,55.95,26.58
5/21/2013,54.95,27
5/22/2013,54.4,26.54
5/23/2013,54.48,26.02
5/24/2013,54.64,26.33
5/28/2013,55.53,26.07
5/29/2013,55.05,25.81
5/30/2013,55.1,26.33
5/31/2013,54.1,26.3
6/3/2013,53.41,26.39
6/4/2013,52.59,26.26
6/5/2013,51.36,25.75
6/6/2013,51.52,26.21
6/7/2013,51.45,27.04
6/10/2013,53.25,26.74
6/11/2013,52.05,26.4
6/12/2013,50.75,25.89
6/13/2013,51.48,26.37
6/14/2013,51.29,26.28
6/17/2013,52.07,26.54
6/18/2013,52.56,26.66
6/19/2013,52.23,26.24
6/20/2013,50.74,25.35
6/21/2013,51.13,25.19
6/24/2013,50.82,24.07
6/25/2013,51.64,24.96
6/26/2013,51.33,25.29
6/27/2013,52.14,25.47
6/28/2013,51.72,25.13
7/1/2013,52.9,25.24
7/2/2013,53.33,24.99
7/3/2013,53.17,25.59
7/5/2013,53.85,25.68
7/8/2013,53.71,25.53
7/9/2013,54.49,26.68
7/10/2013,54.88,26.56
7/11/2013,55.88,27.04
7/12/2013,57.04,27.23
7/15/2013,56.45,27.34
7/16/2013,56.81,26.88
7/17/2013,57.38,29.66
7/18/2013,53.52,29.66
7/19/2013,52.19,29.11
7/22/2013,52.31,27.86
7/23/2013,51.64,27.36
7/24/2013,52.1,27.84
7/25/2013,51.5,28.27
7/26/2013,52.25,28.11
7/29/2013,51.64,27.93
7/30/2013,51.98,28.05
7/31/2013,51.69,28.09
8/1/2013,52.41,27.96
8/2/2013,52.54,27.65
8/5/2013,52.71,27.67
8/6/2013,53.7,27.32
8/7/2013,53.01,27.39
8/8/2013,53.57,27.48
8/9/2013,53.33,27.68
8/12/2013,53.28,28.35
8/13/2013,54.12,28.34
8/14/2013,54.23,28.05
8/15/2013,53.18,27.14
8/16/2013,52.92,27.32
8/19/2013,52.07,26.91
8/20/2013,51.99,27.12
8/21/2013,50.96,27.06
8/22/2013,51.08,27.9
8/23/2013,51.65,27.99
8/26/2013,51.96,27.7
8/27/2013,50.61,27
8/28/2013,50.43,27.11
8/29/2013,50.99,27.3
8/30/2013,49.99,27.12
9/3/2013,50.32,27.78
9/4/2013,51.45,28.07
9/5/2013,51.95,28.23
9/6/2013,52.83,28.17
9/9/2013,52.67,29.24
9/10/2013,53.49,29.48
9/11/2013,54.28,29.19
9/12/2013,54.03,29.65
9/13/2013,53.82,29.26
